song,code,ftp,ltp,times_played,aka
Benefactor,BENEFA,07/06/1991,08/31/1992,4,
Black-Eyed Peas Jam,BEPEAS,10/31/1989,10/31/1989,1,
Bertha,BERTHA,06/01/1987,06/01/1987,1,
Better Off,BETOFF,02/07/1992,06/22/2024,338,
The Big Lagoon,BIGLGN,10/03/1991,10/03/1991,1,Feeling Lucky
Blue Indian,BINDIN,10/06/1998,04/26/2025,307,
Bird On A Wire,BIRDOW,08/13/2022,01/19/2024,4,
Blackout Blues,BLACK,11/17/1993,05/17/2025,555,
Workin' On A Building,BLDG,11/21/1991,11/21/1991,1,
Blight,BLIGHT,10/27/1995,04/26/2025,275,
Blind,BLIND,12/31/2002,12/31/2002,1,
Entering A Black Hole Backwards,BLKHOL,02/27/1992,09/15/2023,59,
Black Sabbath,BLKSAB,10/31/1987,04/26/2025,4,
"Baby, Let Me Follow You Down",BLMFYD,10/05/2005,10/28/2011,10,
"Baby, Let Me Hold Your Hand",BLMHYH,01/25/1996,05/14/2003,6,
Blue Carousel,BLUCAR,09/16/2023,04/26/2025,9,
B of D,BOFD,02/14/1989,06/22/2024,265,Giving
Boogie Chillen,BOGCHL,06/22/2001,06/22/2001,1,
Boom Boom Boom,BOOMX3,04/01/2008,05/03/2008,4,
Band On The Run,BOTRUN,10/29/2000,10/29/2000,1,
Bowlegged Woman,BOWLW,02/02/1987,05/16/2025,241,Bowlegged Woman Knock Kneed Man
Boys In The Barroom,BOYBAR,11/19/1988,11/25/1988,2,
Breathing Slow,BREATH,04/07/1986,04/14/2024,89,
Born To Be Wild,BRN2BW,04/25/1986,04/25/1986,1,
Bring It On Home,BRNGIT,10/31/2010,10/31/2010,1,
Broken String Blues,BSBLUE,10/24/1985,10/24/1985,1,
Bright Side of Life,BSOLIF,10/31/2007,10/31/2007,1,
Bird Song,BSONG,,08/13/2022,26,
Brown Sugar,BSUGAR,10/31/2008,10/31/2008,1,
Blue Sunday,BSUNDY,10/31/1998,03/27/2022,5,
Beat On The Brat,BTBRAT,10/31/2003,10/30/2016,2,
Burnout Man,BURNMN,02/24/1985,02/24/1985,1,
Busted,BUSTED,04/20/2005,04/20/2005,1,
Bust It Big,BUSTIT,09/26/2003,04/26/2025,238,
Big Wooly Mammoth,BWMAMM,10/10/1995,04/24/2025,273,
You Can't Always Get What You Want,CAGWYW,02/12/2012,05/25/2024,19,
Can't Help Falling In Love,CANTHP,02/24/1994,02/24/1994,1,
Jesus Was A Capricorn,CAPRIC,08/25/2019,08/25/2019,1,
Cardboard Box,CARDBX,04/14/1986,10/06/1990,6,
Carmelita,CARMEL,01/29/2012,07/06/2014,8,
Casa Del Grillo,CASA,07/16/2000,01/17/2023,89,
C. Brown,CBROWN,02/13/1986,05/16/2025,812,
China Cat Sunflower,CCAT,04/17/1986,02/01/1989,50,
Cisco Kid,CCOKID,09/22/1990,09/22/1990,1,
Can't Change The Past,CCTP,08/10/2006,08/10/2006,1,
Cease Fire,CEASEF,03/20/2015,05/24/2024,70,
Can't Find My Way Home,CFMWH,08/08/1988,04/15/2024,184,
Can't Get Enough,CGENOU,11/02/2013,11/02/2013,1,
Can't Get High,CGHIGH,07/09/1993,03/21/2025,371,
Cant Get There From Here,CGTFH,10/30/2006,10/30/2006,1,
The Chain,CHAIN,07/21/1986,08/11/1986,2,
Chainsaw City,CHAINS,08/25/1990,02/15/2025,165,
The Changeling,CHGLNG,10/28/2016,10/28/2016,1,
Chilly Water,CHILLY,06/22/1985,04/25/2025,1154,
Chicken Strut,CHKNST,10/31/2019,10/31/2019,1,
Keep On Chooglin',CHOOGL,09/07/2013,09/07/2013,1,
Chest Fever,CHSTFV,09/14/2006,06/29/2014,23,
Cissy Strut,CISSYS,08/08/2003,03/25/2010,2,
Climb To Safety,CLIMB,01/20/1996,04/25/2025,414,
When The Clowns Come Home,CLOWNS,03/25/2005,04/10/2007,32,
Clap Hands,CLPHND,07/10/2013,07/10/2013,1,
Come As You Are,CMASUR,10/31/2009,10/31/2009,1,
Coach,COACH,04/22/2008,07/02/2014,13,
Cocaine,COCAIN,10/31/2013,08/03/2019,2,
Chunk Of Coal,COCOAL,07/26/1995,05/29/2022,112,
Coconut,COCONU,02/24/1985,04/24/2025,321,Coconut Image
City of Dreams,CODREA,03/04/1992,03/24/2024,164,
Come On,COMEON,12/31/2013,12/31/2013,1,
Come Together,COMETO,06/11/2005,04/15/2023,11,
When You Coming Home,COMHOM,07/31/2010,04/18/2023,10,
Conrad,CONRAD,05/26/1986,04/24/2025,732,
Contentment Blues,CONTEN,,04/16/2024,267,
Cortez the Killer,CORTEZ,10/31/2001,08/04/2019,7,
Cosmic Confidante,COSCON,05/24/2024,05/16/2025,4,
Children of the Grave,COTGRV,10/31/2007,10/31/2021,3,
Cotton Was King,COTTON,05/05/2010,03/21/2025,119,
Crack And Whistle,CRACK,02/13/1996,02/13/1996,1,
From The Cradle,CRADLE,04/22/2006,03/04/2023,124,
Crazy,CRAZY,03/29/2005,12/31/2016,48,
Cream Puff War,CREAMP,04/17/1986,08/27/2023,222,
Crime And Punishment,CRIMAP,10/17/2001,10/17/2001,1,
Crippled Inside,CRIPPL,06/17/2007,07/08/2011,9,
Cross Cut Saw,CROSSC,12/03/1994,06/27/2000,2,
This Cruel Thing,CRUEL,09/25/2010,12/31/2019,6,
Cryptical Envelopment,CRYPTE,06/22/1985,03/11/1989,32,
Counting Train Cars,CTCARS,04/15/2003,03/13/2014,36,
Cleburne Terrace,CTERRA,11/19/1988,11/04/1994,6,
Crazy Train,CTRAIN,10/28/2023,12/30/2023,2,
Clinic Cynic,CYNIC,10/27/2001,09/14/2014,58,
Daddy's Drinkin' Again,DADDAG,07/29/2003,07/29/2003,1,
Daisy Mae,DAISYM,11/01/2002,10/21/2005,22,
Dang Me,DANGME,02/11/2012,02/11/2012,1,
Don't Be Denied,DBDEND,06/01/1987,06/23/2024,76,
Dirty Business,DBUSIN,,12/31/2023,78,
(Sittin' On) The Dock Of The Bay,DCKBAY,12/29/2005,03/29/2014,4,
Dark Day Program,DDPROG,04/01/2008,03/12/2022,18,
Don't Drink The Water,DDWATR,05/28/2023,05/28/2023,1,
Dear Prudence,DEARPR,03/13/2022,02/16/2025,8,
Degenerate,DEGENR,10/31/2011,02/15/2025,17,
Desperados Waiting For A Train,DESPER,08/25/2019,08/25/2019,1,
Devil In Disguise,DEVDIS,10/31/2013,03/29/2014,6,
Me And The Devil Blues,DEVIL,08/07/1989,04/26/2025,268,Me And The Devil
Dead Flowers,DFLOWR,12/29/2015,12/29/2015,1,
Diner,DINER,02/07/1992,05/17/2025,658,
Disco,DISCO,08/04/1988,04/25/2025,562,Storm Watch
Dog Song,DOGSON,07/07/1990,05/24/1992,37,
Why Don't We Do It In The Road?,DOIT,10/19/1985,10/18/2014,3,
Doo Doo Doo Doo Doo (Heartbreaker),DOODOO,06/12/2011,06/12/2011,1,
Dooley,DOOLEY,10/31/2015,10/31/2015,1,
Doreatha,DORETH,05/13/1995,07/19/2006,57,
Down On The Farm,DOTFRM,11/14/1987,10/27/2019,50,
Down,DOWN,04/16/2000,04/26/2025,141,
Dragonaut Jam,DRAGJM,10/29/2022,10/29/2022,1,
Dream Song,DREAM,03/13/1992,05/25/2024,204,
Dreams,DREAMS,10/29/2022,10/29/2022,1,
Dream Warrior,DREAMW,10/30/2010,10/29/2022,2,
Drift Away,DRIFTA,10/28/2018,10/28/2018,1,
Drive,DRIVE,10/17/2001,11/17/2001,2,
Driving Song,DRIVIN,04/07/1986,05/16/2025,829,
Dark Bar,DRKBAR,06/28/2008,03/21/2025,56,
Dark End of the Street,DRKEND,10/31/2005,06/20/2014,5,
Drums,DRUMS,10/19/1985,04/26/2025,1607,
Dirty Side Down,DSDOWN,04/24/2010,09/16/2018,48,
Don't Tell The Band,DTTBND,06/23/2001,10/29/2017,19,
Don't Wanna Lose You,DWLYOU,04/11/2003,03/22/2025,94,
Do What You Like,DWYL,03/16/1987,10/25/2019,78,
D'yer Maker,DYERMA,10/31/2014,02/23/2016,4,
Dyin' Man,DYNMAN,04/20/1997,03/23/2025,263,
Earache My Eye,EARACH,10/31/2014,10/31/2014,1,
Get Up Early In The Morning,EARLY,05/18/1992,05/26/1996,53,"Misery, Early, Tipitina's, Longhair Jam, May include 'Junko Partner' lyrics as well"
Electric Funeral,ELCFUN,10/25/2016,10/25/2016,1,
End Of The Show,EOFSHW,01/27/1994,02/16/2025,110,
E on a G,EONAG,04/03/2000,02/28/2020,12,
Easy Wind,EWIND,,07/09/2011,5,
The Earth Will Swallow You,EWSY,04/06/1990,07/18/2006,27,
Excitable Boy,EXCBOY,12/30/2009,12/30/2009,1,
Expiration Day,EXPDAY,12/31/2001,04/25/2025,96,
Fairies Wear Boots,FAIRIE,06/17/2007,04/26/2025,26,
Dear Mr. Fantasy,FANTAS,,05/17/2025,188,
Fab Fox 'Fess Jam,FFFJAM,12/30/1996,12/30/1996,1,
Flat Foot Flewzy,FFFLOO,06/26/1991,06/23/2024,220,
Feeling Gravitys Pull,FGPULL,10/31/2021,10/31/2021,1,
Fire on the Mountain,FIRE,,02/10/2011,40,
Fishwater,FISH,03/08/1990,05/17/2025,850,
The Fishin' Hole,FISHHL,10/31/2015,10/31/2015,1,
Flicker,FLICKR,04/03/2007,10/22/2022,87,
Walk On The Flood,FLOOD,04/01/2008,09/30/2011,32,
Familiar Reality,FMREAL,04/29/2010,05/02/2019,6,
Folsom Prison Blues,FOLSOM,10/05/2010,10/05/2010,1,
Won't Get Fooled Again,FOOLED,10/31/1999,10/31/1999,1,
Fortunate Son,FORSON,09/07/2013,09/07/2013,1,
Foxy Lady,FOXLDY,04/07/1986,04/25/1986,2,
Freedom,FREEDM,08/23/1990,08/23/1990,1,
Free Somehow,FREESH,04/01/2008,01/24/2012,9,
Basically Frightened,FRIGHT,02/14/2011,07/25/2022,4,
Fishing,FSHING,04/16/2003,02/14/2025,60,
Fixin' To Die,FTDIE,06/25/1990,04/24/2025,113,
Franklin's Tower,FTOWER,05/13/1988,05/13/1988,1,
For What It's Worth,FWIW,,03/21/2025,36,
First We Take Manhattan,FWTMAN,12/31/2015,02/26/2016,2,
Galleon,GALEON,10/03/1995,08/10/2022,44,
Goodpeople,GDPEOP,03/26/2005,04/25/2025,218,
Genesis,GENESI,04/23/1987,02/14/2025,155,
Geraldine And The Honeybee,GERALD,05/28/1988,12/29/2019,34,Geraldine
Get Up (I Feel Like Being A Sex Machine),GETUP,10/31/2002,11/10/2002,2,
Gotta Get Mean,GGMEAN,10/29/1991,10/29/1991,1,
Gotta Have Money,GHMONY,10/02/2022,10/02/2022,1,
Gimme,GIMME,11/19/1988,05/17/2025,196,"Kiss on Tuesday, Micheal"
Gimme Some Lovin',GIMSLV,09/06/2014,09/06/2014,1,
Give,GIVE,04/07/2000,05/27/2023,234,
Glad,GLAD,06/22/2002,09/06/2014,2,
Glory,GLORY,09/20/1995,08/26/2022,118,
Giving Love,GLOVE,05/10/1991,05/10/1991,1,
Good Morning Little Schoolgirl,GMLSG,10/05/1987,05/16/2025,88,Schoolgirl
I Got My Mojo Workin',GMMOJO,10/31/2013,10/31/2013,1,
Get In Get Out,GNGOUT,07/05/2002,12/31/2003,12,
Georgia On A Fast Train,GOAFT,12/31/2005,04/22/2006,2,
Guns of Brixton,GOBRIX,09/12/2015,09/12/2015,1,
God Was In The Water,GODH2O,07/12/2002,11/15/2002,7,
Godzilla,GODZIL,10/31/1997,04/25/2025,4,
The Golden Road (To Unlimited Devotion),GOLDRD,10/28/2023,10/28/2023,1,
Georgia On My Mind,GOMM,12/31/2005,09/20/2008,2,
Goin' Out West,GOWEST,01/20/1996,05/16/2025,234,
Gradle,GRADLE,03/22/1995,03/04/2023,161,
Ain't Life Grand,GRAND,07/26/1993,04/26/2025,651,
Grandma's Hands,GRANDM,08/07/2003,08/07/2003,1,
Greta,GRETA,03/30/1996,04/25/2025,437,
Green Onions,GRNONI,07/12/1995,11/02/2014,11,
I Ain't Got No Business Doin' Business Today,GTNOBU,09/14/1988,09/14/1988,1,
I Walk On Guilded Splinters,GUILDE,09/09/1988,04/26/2025,210,"Guilded Splinters, Walk On Guilded Splinters"
Havin' A Ball,HABALL,07/16/1994,07/23/1994,2,
Have A Cigar,HACIGR,10/31/2015,10/31/2015,1,
Hallelujah,HALLEL,12/31/2015,10/30/2016,6,
Happy,HAPPY,09/24/1995,04/15/2024,159,
Happy (PW),HAPPYP,12/31/2014,12/31/2014,1,
Happy (RS),HAPPYR,12/31/2014,12/31/2014,1,
Good Morning Mr. Hard On,HARDON,12/31/2019,12/31/2019,1,
The Harder They Come,HARDTC,07/27/2001,09/12/2015,4,
Hatfield,HATFIE,02/08/1992,04/24/2025,646,
Happy Child,HCHILD,03/11/1989,09/17/2022,92,Tuesday's Lullabye
How Come My Dog Don't Bark (When You Come Around),HCMDDB,05/03/2014,05/03/2014,1,
Here Comes The Judge,HCTJDG,10/28/2018,10/28/2018,1,
Her Dance Needs No Body,HDNNB,04/01/2008,12/31/2016,40,
Heathen,HEATHE,,04/23/2008,20,
Heaven,HEAVEN,,04/16/2024,330,
Help Me Somebody,HELPME,04/27/1995,02/27/2020,94,
Hercules,HERCUL,05/02/2015,05/02/2015,1,
Heroes (DB),HERODB,12/31/2015,02/15/2025,5,
Heroes,HEROES,08/04/1993,04/15/2023,311,
Hearts Gone Blind,HGBLND,10/03/1991,10/04/1991,2,
Hit It And Quit It,HITITQ,10/31/2014,10/31/2014,1,
Help Me,HLPME,10/31/2013,11/14/2013,2,
Heart of Gold,HOGOLD,10/31/2014,10/28/2023,7,
Holden Oversoul,HOLDEN,03/22/1988,04/24/2025,812,Older Souls
Home on the Range,HOMRNG,10/29/2017,10/29/2017,1,
Honey Bee,HONBEE,10/28/2017,05/25/2024,21,
Honky Red,HONKYR,04/05/2014,05/17/2025,85,
Hot In Herre,HOTINH,10/31/2002,10/31/2002,1,
Happy Xmas (War Is Over),HPYXMS,12/31/2012,12/31/2012,1,
High Time We Went,HTWW,11/01/2014,08/03/2019,9,
Like A Hurricane,HURRIC,09/25/2010,09/25/2010,1,
Highway To Heaven,HWAY2H,01/22/1996,01/22/1996,1,
Halloween Face,HWEENF,10/31/2021,04/26/2025,28,
Hope In A Hopeless World,HWORLD,02/06/1996,12/31/2023,171,
I Wish,I WISH,12/31/2002,12/31/2009,3,
I've Been Working,IBWORK,07/11/1998,06/20/2014,3,
I Can See Clearly Now,ICSCN,09/12/2015,02/26/2016,3,
I Can't Stop Loving You,ICSLU,12/31/2006,12/31/2006,1,
I Fought The Law,IFTLAW,10/31/2015,10/31/2015,1,
I Got The Same Old Blues,IGTSOB,03/25/2023,04/21/2023,2,
I Like It Like That,ILILT,11/03/1991,11/03/1991,1,
I Like The Things About Me,ILTTAM,07/23/2003,06/28/2006,17,
I'm A Man,IMAMAN,09/06/2014,09/06/2014,1,
Imitation Leather Shoes,IMITLS,04/02/2000,04/24/2025,300,
Impossible,IMPOSS,08/04/1988,04/15/2024,454,
Indian Song,INDIAN,12/29/1996,12/29/1996,1,
Somewhere In Time,INTIME,02/19/2012,02/29/2020,4,
Interstellar Overdrive,INTOVR,05/02/2003,07/11/2006,6,
I Put A Spell On You,IPASOY,10/31/2005,06/25/2014,2,
Iron Man,IRNMAN,10/31/2011,10/28/2023,3,
I Swear It Wasn't Me,ISIWM,01/25/2015,01/25/2015,1,
I'll Sleep When I'm Dead,ISWID,12/31/2023,12/31/2023,1,
I Trusted You,ITRSTU,10/31/2019,11/02/2019,2,
It Was You,ITWASU,07/09/1997,04/28/1998,7,
I Want Candy,IWANTC,10/31/2013,10/31/2013,1,
I Want You (She's So Heavy),IWANTU,10/30/2006,12/30/2006,2,
I Wish You Would,IWISH,06/01/1987,11/13/1999,4,"I Believe My Baby's Gone, My Baby's Gone, Baby Come Back"
Jack,JACK,08/04/1988,04/25/2025,511,
Jaded Tourist,JADED,06/27/2010,02/11/2023,39,
Just Ain't Easy,JAEASY,01/10/2014,01/10/2014,1,
Jam,JAM,10/24/1985,04/25/2025,679,
Jamais Vu,JAMAIS,03/14/2015,05/24/2024,39,
Johnny Appleseed,JAPPLE,10/31/2007,10/31/2007,1,
Jessica,JESSIC,12/29/2015,10/01/2022,2,
Jesus Just Left Chicago,JESUS,11/28/2009,05/28/2023,30,
Jumpin' Jack Flash,JFLASH,10/28/2018,10/28/2018,1,
The Ballad of John and Yoko,JHNYOK,01/25/2012,10/24/2021,19,
Just Kissed My Baby,JKMB,01/08/1991,05/01/2016,164,
Joe's Garage,JOEGAR,10/31/2001,10/31/2001,1,
John's Other Jam,JOHNOJ,10/30/2006,10/30/2006,1,
Journey Through The Past,JTPAST,12/31/2013,10/31/2015,4,
Junior,JUNIOR,04/09/1993,05/17/2025,453,"Stay All Night, All Night Long"
That Don't Make It Junk,JUNK,04/16/2011,02/18/2012,4,
Junco Partner,JUNKO,07/21/1992,05/08/2006,17,
Knocking 'Round The Zoo,KATZOO,04/07/1986,04/15/2024,159,
Key to the Highway,KEY2HI,06/01/1987,09/08/1987,2,
Keep Me in Your Heart,KMIYH,06/25/2023,04/24/2025,6,
King Baby,KNGBBY,06/25/2023,05/17/2025,16,
Knockin' On Heaven's Door,KOHDOR,06/22/1985,11/17/1990,21,
Elevator To The Moon,L2MOON,04/04/1991,07/29/2023,2,
L.a.,LA,07/15/1987,07/13/2019,186,"Eliza's Apartment, Liza's Apartment"
Lady Wisdom Sleeps,LADYWS,08/20/1990,05/18/1991,3,
Lake Of Fire,LAKEOF,10/31/2009,04/21/2018,3,
Louisiana Truck Stop,LATSTP,11/02/2002,11/02/2002,1,
L.A. Woman,LAWOMN,10/31/1997,10/29/2016,2,
Long Cool Woman In A Black Dress,LCWOMN,10/29/2000,12/31/2018,2,
Last Dance,LDANCE,06/22/1985,09/15/2023,102,
Last Date,LDATE,04/07/2005,04/07/2005,1,
Low Down Dirty Dog Blues,LDDDB,12/29/2015,12/29/2015,1,
Lean On Me,LEANOM,12/31/2014,06/28/2015,2,
Papa Legba,LEGBA,12/31/1987,04/18/2023,372,
Let's Roll,LETSRL,02/12/2012,02/12/2012,1,
"Lawyers, Guns, And Money",LGAMON,03/21/1987,04/24/2025,74,
Let's Get Down To Business,LGDTB,10/31/1994,05/24/2024,200,
Let's Get The Show On The Road,LGTSOR,02/24/1985,03/05/2023,136,
Let It Bleed,LIBLED,10/12/2003,07/14/2006,11,
Life During Wartime,LIFEDW,10/31/2003,03/21/2025,85,
Life As A Tree,LIFETR,08/25/2019,06/23/2024,3,
Life on Mars?,LIFMRS,10/31/2021,10/31/2021,1,
Little Lilly Jam,LILLYJ,11/10/1998,11/10/1998,1,
Little Lilly reprise,LILLYR,11/09/1999,11/09/1999,1,
Light Is Like Water,LILWTR,06/27/2001,06/20/2014,16,
Sitting In Limbo,LIMBO,09/12/2015,12/29/2015,2,
Let It Rock,LIROCK,06/16/1986,04/15/2024,166,
Lithium,LITHIU,10/30/2016,10/30/2016,1,
Just Like A Woman,LKWOMN,09/01/2009,10/10/2009,2,
Little Lilly,LLILLY,11/17/1998,04/26/2025,240,"Blue Girl, First Snow"
Longer Look,LLOOK,04/14/2005,04/14/2005,1,
Long Live Rock,LLROCK,10/31/1997,10/31/1997,1,
Light My Fire,LMFIRE,11/02/2000,11/02/2000,1,
Long May You Live,LMLIVE,04/05/1986,11/08/2001,8,
Lonely Avenue,LNLYAV,08/19/2001,08/19/2001,1,
Lola,LOLA,10/31/2010,10/31/2010,1,
I'm Losing You,LOSINU,10/31/2011,10/31/2011,1,
Turn On Your Love Light,LOVELT,10/24/1985,12/31/2019,23,Turn On Your Lovelight
Low Rider,LOWRID,,11/04/2009,155,
Low Spark Of High Heeled Boys,LSOHHB,02/13/1986,03/23/2025,228,
My Last Act,LSTACT,12/31/2001,12/31/2001,1,
The Last Straw,LSTRAW,12/31/1987,05/17/2025,298,
Little By Little,LTBYLT,07/29/2023,05/16/2025,16,
Little Kin,LTKIN,04/24/1993,04/25/2025,441,
Love The One You're With,LTOYW,06/22/1985,12/31/2022,11,
Long Train Runnin',LTRAIN,04/21/1988,04/21/1988,1,
Little Wing,LTWING,06/22/1985,05/17/2025,71,
Lullaby for NYC,LULNYC,11/20/1993,11/20/1993,1,
Love For Sale,LV4SAL,10/31/2001,10/31/2001,1,
Love And Happiness,LVAHAP,04/15/2005,12/31/2011,3,
Love Is The Drug,LVDRUG,10/31/2003,10/31/2003,1,
Livin' In The USA,LVNUSA,10/10/2008,10/10/2008,1,
Love In Vain,LVNVAI,03/16/2018,03/16/2018,1,
Machine Gun,MACGUN,11/02/2014,02/16/2025,9,
Machine,MACHIN,10/06/1986,04/26/2025,542,
Machine reprise,MACHRP,10/20/2017,10/08/2021,2,
Maggot Brain,MAGGOT,10/31/1992,03/21/2025,106,
Magic Bus,MAGICB,11/30/2000,11/30/2000,1,
That's All Right Mama,MAMA,,05/29/1991,11,It's Alright Mama
Mambo Sun,MAMBOS,06/26/2022,06/26/2022,1,
Mama Kin,MAMKIN,10/31/2008,10/31/2008,1,
This Masquerade,MASQUE,10/31/2009,11/14/2009,2,
Magic Carpet Ride,MCRIDE,10/29/2017,10/29/2017,1,
Morning Dew,MDEW,08/12/1987,05/14/2015,20,
Midnight Special,MDNTSP,12/31/2012,12/31/2012,1,
Mercy,MERCY,04/01/1991,02/15/2025,304,
Mercy Train To Bogart,MERCYT,06/27/2021,10/21/2022,2,
Mardi Gras In New Orleans,MGNNO,10/28/2000,07/08/2016,3,
After Midnight,MIDNIG,12/31/1987,12/29/1990,10,
What's Made Milwaukee Famous (Has Made A Loser Out Of Me),MILFAM,10/25/2015,10/25/2015,1,
Milk And Cookies,MILKAC,08/24/2019,08/24/2019,1,
New Minglewood Blues,MINGLB,,12/12/1986,10,Minglewood Blues
Misty Mountain Hop,MMHOP,10/31/1999,10/31/1999,1,
Man On The Moon,MNMOON,10/31/2019,10/31/2019,1,
Sleepy Monkey,MONKEY,,03/23/2024,245,Monkey Image
Monstrosity,MONSTR,04/29/2003,07/12/2006,40,
Moondance,MOONDA,12/31/2009,12/31/2016,2,
Morally Challenged,MORCHA,12/31/2001,05/29/2022,3,
Early In The Morning Blues,MORNBL,06/27/2000,06/27/2000,1,
Mr. Crowley,MRCROW,10/28/2023,10/28/2023,1,
Mr. Soul,MRSOUL,05/13/1987,04/25/2025,388,
Makes Sense To Me,MSTOME,04/01/1991,04/25/2025,672,
Mountain Hideaway,MTHIDE,06/29/2013,07/20/2013,3,
Mama Told Me Not To Come,MTMNTC,10/18/2008,06/26/2011,4,
Mountain Jam,MTNJAM,04/23/1987,07/25/2022,10,First There Was A Mountain
Midnight Train To Georgia,MTTG,12/31/2005,12/31/2005,1,
Drinking Muddy Water,MUDH2O,10/31/2013,02/18/2022,12,
Muffin Man,MUFFIN,09/19/2010,09/19/2010,1,
Meeting of the Waters,MWATER,04/18/2003,10/26/2003,13,
May Your Glass Be Filled,MYGBF,03/26/2005,03/23/2025,90,
My Generation,MYGEN,12/31/2023,12/31/2023,1,
Mystic Highway,MYSHWY,09/07/2013,09/07/2013,1,
Nebulous,NEBULO,04/17/2003,07/23/2006,46,
New Blue,NEWBLU,10/26/2001,03/26/2022,8,
Not Fade Away,NFA,02/24/1985,02/14/1989,29,
Nobody's Fault But Mine,NFBMIN,02/13/1986,03/05/2023,72,
Nights In White Satin,NIGHT,,02/11/2011,11,
Nowhere To Run,NO2RUN,10/31/2005,10/31/2005,1,
Nobody's Loss,NOLOSS,01/19/1996,04/16/2024,148,
None of Us Are Free,NONFRE,07/03/2005,08/27/2022,50,
North,NORTH,09/25/1999,04/14/2024,285,
No Sugar Tonight/New Mother Nature,NOSUGT,02/24/1985,04/24/2025,194,"New Mother Nature, No Sugar Tonight/New Mother Nature"
Ain't No Sunshine,NOSUNS,12/31/2014,06/24/2018,2,
It Ain't No Use,NOUSE,01/13/1990,08/11/2022,365,
New Speedway Boogie,NSBOOG,01/12/1987,08/02/2019,51,
Nature's Way,NTRWAY,10/29/2022,10/29/2022,1,
Next Time You See Me,NTUSEE,06/01/1987,06/01/1987,1,Lied And Cheated
Orange Blossom Special,OBSPEC,01/23/1996,12/30/1997,6,
Old Joe,OLDJOE,04/03/2000,04/14/2024,106,
Old Neighborhood,OLDNHD,10/28/2001,05/16/2025,167,
On Broadway,ONBROD,11/01/2003,11/01/2003,1,
