song,code,ftp,ltp,times_played,aka
Bowlegged Woman,BOWLW,02/02/87,02/14/25,240,Bowlegged Woman Knock Kneed Man
Boys In The Barroom,BOYBAR,11/19/88,11/25/88,2,
Breathing Slow,BREATH,04/07/86,04/14/24,89,
Born To Be Wild,BRN2BW,04/25/86,04/25/86,1,
Bring It On Home,BRNGIT,10/31/10,10/31/10,1,
Broken String Blues,BSBLUE,10/24/85,10/24/85,1,
Bright Side of Life,BSOLIF,10/31/07,10/31/07,1,
Bird Song,BSONG,,08/13/22,26,
Brown Sugar,BSUGAR,10/31/08,10/31/08,1,
Blue Sunday,BSUNDY,10/31/98,03/27/22,5,
Beat On The Brat,BTBRAT,10/31/03,10/30/16,2,
Burnout Man,BURNMN,02/24/85,02/24/85,1,
Busted,BUSTED,04/20/05,04/20/05,1,
Bust It Big,BUSTIT,09/26/03,04/26/25,238,
Big Wooly Mammoth,BWMAMM,10/10/95,04/24/25,273,
You Can't Always Get What You Want,CAGWYW,02/12/12,05/25/24,19,
Can't Help Falling In Love,CANTHP,02/24/94,02/24/94,1,
Jesus Was A Capricorn,CAPRIC,08/25/19,08/25/19,1,
Cardboard Box,CARDBX,04/14/86,10/06/90,6,
Carmelita,CARMEL,01/29/12,07/06/14,8,
Casa Del Grillo,CASA,07/16/00,01/17/23,89,
C. Brown,CBROWN,02/13/86,03/21/25,811,
China Cat Sunflower,CCAT,04/17/86,02/01/89,50,
Cisco Kid,CCOKID,09/22/90,09/22/90,1,
Can't Change The Past,CCTP,08/10/06,08/10/06,1,
Cease Fire,CEASEF,03/20/15,05/24/24,70,
Can't Find My Way Home,CFMWH,08/08/88,04/15/24,184,
Can't Get Enough,CGENOU,11/02/13,11/02/13,1,
Can't Get High,CGHIGH,07/09/93,03/21/25,371,
Cant Get There From Here,CGTFH,10/30/06,10/30/06,1,
The Chain,CHAIN,07/21/86,08/11/86,2,
Chainsaw City,CHAINS,08/25/90,02/15/25,165,
The Changeling,CHGLNG,10/28/16,10/28/16,1,
Chilly Water,CHILLY,06/22/85,04/25/25,1154,
Chicken Strut,CHKNST,10/31/19,10/31/19,1,
Keep On Chooglin',CHOOGL,09/07/13,09/07/13,1,
Chest Fever,CHSTFV,09/14/06,06/29/14,23,
Cissy Strut,CISSYS,08/08/03,03/25/10,2,
Climb To Safety,CLIMB,01/20/96,04/25/25,414,
When The Clowns Come Home,CLOWNS,03/25/05,04/10/07,32,
Clap Hands,CLPHND,07/10/13,07/10/13,1,
Come As You Are,CMASUR,10/31/09,10/31/09,1,
Coach,COACH,04/22/08,07/02/14,13,
Cocaine,COCAIN,10/31/13,08/03/19,2,
Chunk Of Coal,COCOAL,07/26/95,05/29/22,112,
Coconut,COCONU,02/24/85,04/24/25,321,Coconut Image
City of Dreams,CODREA,03/04/92,03/24/24,164,
Come On,COMEON,12/31/13,12/31/13,1,
Come Together,COMETO,06/11/05,04/15/23,11,
When You Coming Home,COMHOM,07/31/10,04/18/23,10,
Conrad,CONRAD,05/26/86,04/24/25,732,
Contentment Blues,CONTEN,,04/16/24,267,
Cortez the Killer,CORTEZ,10/31/01,08/04/19,7,
Cosmic Confidante,COSCON,05/24/24,03/23/25,3,
Children of the Grave,COTGRV,10/31/07,10/31/21,3,
Cotton Was King,COTTON,05/05/10,03/21/25,119,
Crack And Whistle,CRACK,02/13/96,02/13/96,1,
From The Cradle,CRADLE,04/22/06,03/04/23,124,
Crazy,CRAZY,03/29/05,12/31/16,48,
Cream Puff War,CREAMP,04/17/86,08/27/23,222,
Crime And Punishment,CRIMAP,10/17/01,10/17/01,1,
Crippled Inside,CRIPPL,06/17/07,07/08/11,9,
Cross Cut Saw,CROSSC,12/03/94,06/27/00,2,
This Cruel Thing,CRUEL,09/25/10,12/31/19,6,
Cryptical Envelopment,CRYPTE,06/22/85,03/11/89,32,
Counting Train Cars,CTCARS,04/15/03,03/13/14,36,
Cleburne Terrace,CTERRA,11/19/88,11/04/94,6,
Crazy Train,CTRAIN,10/28/23,12/30/23,2,
Clinic Cynic,CYNIC,10/27/01,09/14/14,58,
Daddy's Drinkin' Again,DADDAG,07/29/03,07/29/03,1,
Daisy Mae,DAISYM,11/01/02,10/21/05,22,
Dang Me,DANGME,02/11/12,02/11/12,1,
Don't Be Denied,DBDEND,06/01/87,06/23/24,76,
Dirty Business,DBUSIN,,12/31/23,78,
(Sittin' On) The Dock Of The Bay,DCKBAY,12/29/05,03/29/14,4,
Dark Day Program,DDPROG,04/01/08,03/12/22,18,
Don't Drink The Water,DDWATR,05/28/23,05/28/23,1,
Dear Prudence,DEARPR,03/13/22,02/16/25,8,
Degenerate,DEGENR,10/31/11,02/15/25,17,
Desperados Waiting For A Train,DESPER,08/25/19,08/25/19,1,
Devil In Disguise,DEVDIS,10/31/13,03/29/14,6,
Me And The Devil Blues,DEVIL,08/07/89,04/26/25,268,Me And The Devil
Dead Flowers,DFLOWR,12/29/15,12/29/15,1,
Diner,DINER,02/07/92,03/21/25,657,
Disco,DISCO,08/04/88,04/25/25,562,Storm Watch
Dog Song,DOGSON,07/07/90,05/24/92,37,
Why Don't We Do It In The Road?,DOIT,10/19/85,10/18/14,3,
Doo Doo Doo Doo Doo (Heartbreaker),DOODOO,06/12/11,06/12/11,1,
Dooley,DOOLEY,10/31/15,10/31/15,1,
Doreatha,DORETH,05/13/95,07/19/06,57,
Down On The Farm,DOTFRM,11/14/87,10/27/19,50,
Down,DOWN,04/16/00,04/26/25,141,
Dragonaut Jam,DRAGJM,10/29/22,10/29/22,1,
Dream Song,DREAM,03/13/92,05/25/24,204,
Dreams,DREAMS,10/29/22,10/29/22,1,
Dream Warrior,DREAMW,10/30/10,10/29/22,2,
Drift Away,DRIFTA,10/28/18,10/28/18,1,
Drive,DRIVE,10/17/01,11/17/01,2,
Driving Song,DRIVIN,04/07/86,03/23/25,828,
Dark Bar,DRKBAR,06/28/08,03/21/25,56,
Dark End of the Street,DRKEND,10/31/05,06/20/14,5,
Drums,DRUMS,10/19/85,04/26/25,1607,
Dirty Side Down,DSDOWN,04/24/10,09/16/18,48,
Don't Tell The Band,DTTBND,06/23/01,10/29/17,19,
Don't Wanna Lose You,DWLYOU,04/11/03,03/22/25,94,
Do What You Like,DWYL,03/16/87,10/25/19,78,
D'yer Maker,DYERMA,10/31/14,02/23/16,4,
Dyin' Man,DYNMAN,04/20/97,03/23/25,263,
Earache My Eye,EARACH,10/31/14,10/31/14,1,
Get Up Early In The Morning,EARLY,05/18/92,05/26/96,53,"Misery, Early, Tipitina's, Longhair Jam, May include 'Junko Partner' lyrics as well"
Electric Funeral,ELCFUN,10/25/16,10/25/16,1,
End Of The Show,EOFSHW,01/27/94,02/16/25,110,
E on a G,EONAG,04/03/00,02/28/20,12,
Easy Wind,EWIND,,07/09/11,5,
The Earth Will Swallow You,EWSY,04/06/90,07/18/06,27,
Excitable Boy,EXCBOY,12/30/09,12/30/09,1,
Expiration Day,EXPDAY,12/31/01,04/25/25,96,
Fairies Wear Boots,FAIRIE,06/17/07,04/26/25,26,
Dear Mr. Fantasy,FANTAS,,03/24/24,187,
Fab Fox 'Fess Jam,FFFJAM,12/30/96,12/30/96,1,
Flat Foot Flewzy,FFFLOO,06/26/91,06/23/24,220,
Feeling Gravitys Pull,FGPULL,10/31/21,10/31/21,1,
Fire on the Mountain,FIRE,,02/10/11,40,
Fishwater,FISH,03/08/90,03/21/25,849,
The Fishin' Hole,FISHHL,10/31/15,10/31/15,1,
Flicker,FLICKR,04/03/07,10/22/22,87,
Walk On The Flood,FLOOD,04/01/08,09/30/11,32,
Familiar Reality,FMREAL,04/29/10,05/02/19,6,
Folsom Prison Blues,FOLSOM,10/05/10,10/05/10,1,
Won't Get Fooled Again,FOOLED,10/31/99,10/31/99,1,
Fortunate Son,FORSON,09/07/13,09/07/13,1,
Foxy Lady,FOXLDY,04/07/86,04/25/86,2,
Freedom,FREEDM,08/23/90,08/23/90,1,
Free Somehow,FREESH,04/01/08,01/24/12,9,
Basically Frightened,FRIGHT,02/14/11,07/25/22,4,
Fishing,FSHING,04/16/03,02/14/25,60,
Fixin' To Die,FTDIE,06/25/90,04/24/25,113,
Franklin's Tower,FTOWER,05/13/88,05/13/88,1,
For What It's Worth,FWIW,,03/21/25,36,
First We Take Manhattan,FWTMAN,12/31/15,02/26/16,2,
Galleon,GALEON,10/03/95,08/10/22,44,
Goodpeople,GDPEOP,03/26/05,04/25/25,218,
Genesis,GENESI,04/23/87,02/14/25,155,
Geraldine And The Honeybee,GERALD,05/28/88,12/29/19,34,Geraldine
Get Up (I Feel Like Being A Sex Machine),GETUP,10/31/02,11/10/02,2,
Gotta Get Mean,GGMEAN,10/29/91,10/29/91,1,
Gotta Have Money,GHMONY,10/02/22,10/02/22,1,
Gimme,GIMME,11/19/88,03/26/23,195,"Kiss on Tuesday, Micheal"
Gimme Some Lovin',GIMSLV,09/06/14,09/06/14,1,
Give,GIVE,04/07/00,05/27/23,234,
Glad,GLAD,06/22/02,09/06/14,2,
Glory,GLORY,09/20/95,08/26/22,118,
Giving Love,GLOVE,05/10/91,05/10/91,1,
Good Morning Little Schoolgirl,GMLSG,10/05/87,10/22/23,87,Schoolgirl
I Got My Mojo Workin',GMMOJO,10/31/13,10/31/13,1,
Get In Get Out,GNGOUT,07/05/02,12/31/03,12,
Georgia On A Fast Train,GOAFT,12/31/05,04/22/06,2,
Guns of Brixton,GOBRIX,09/12/15,09/12/15,1,
God Was In The Water,GODH2O,07/12/02,11/15/02,7,
Godzilla,GODZIL,10/31/97,04/25/25,4,
The Golden Road (To Unlimited Devotion),GOLDRD,10/28/23,10/28/23,1,
Georgia On My Mind,GOMM,12/31/05,09/20/08,2,
Goin' Out West,GOWEST,01/20/96,03/21/25,233,
Gradle,GRADLE,03/22/95,03/04/23,161,
Ain't Life Grand,GRAND,07/26/93,04/26/25,651,
Grandma's Hands,GRANDM,08/07/03,08/07/03,1,
Greta,GRETA,03/30/96,04/25/25,437,
Green Onions,GRNONI,07/12/95,11/02/14,11,
I Ain't Got No Business Doin' Business Today,GTNOBU,09/14/88,09/14/88,1,
I Walk On Guilded Splinters,GUILDE,09/09/88,04/26/25,210,"Guilded Splinters, Walk On Guilded Splinters"
Havin' A Ball,HABALL,07/16/94,07/23/94,2,
Have A Cigar,HACIGR,10/31/15,10/31/15,1,
Hallelujah,HALLEL,12/31/15,10/30/16,6,
Happy,HAPPY,09/24/95,04/15/24,159,
Happy (PW),HAPPYP,12/31/14,12/31/14,1,
Happy (RS),HAPPYR,12/31/14,12/31/14,1,
Good Morning Mr. Hard On,HARDON,12/31/19,12/31/19,1,
The Harder They Come,HARDTC,07/27/01,09/12/15,4,
Hatfield,HATFIE,02/08/92,04/24/25,646,
Happy Child,HCHILD,03/11/89,09/17/22,92,Tuesday's Lullabye
How Come My Dog Don't Bark (When You Come Around),HCMDDB,05/03/14,05/03/14,1,
Here Comes The Judge,HCTJDG,10/28/18,10/28/18,1,
Her Dance Needs No Body,HDNNB,04/01/08,12/31/16,40,
Heathen,HEATHE,,04/23/08,20,
Heaven,HEAVEN,,04/16/24,330,
Help Me Somebody,HELPME,04/27/95,02/27/20,94,
Hercules,HERCUL,05/02/15,05/02/15,1,
Heroes (DB),HERODB,12/31/15,02/15/25,5,
Heroes,HEROES,08/04/93,04/15/23,311,
Hearts Gone Blind,HGBLND,10/03/91,10/04/91,2,
Hit It And Quit It,HITITQ,10/31/14,10/31/14,1,
Help Me,HLPME,10/31/13,11/14/13,2,
Heart of Gold,HOGOLD,10/31/14,10/28/23,7,
Holden Oversoul,HOLDEN,03/22/88,04/24/25,812,Older Souls
Home on the Range,HOMRNG,10/29/17,10/29/17,1,
Honey Bee,HONBEE,10/28/17,05/25/24,21,
Honky Red,HONKYR,04/05/14,03/22/25,84,
Hot In Herre,HOTINH,10/31/02,10/31/02,1,
Happy Xmas (War Is Over),HPYXMS,12/31/12,12/31/12,1,
High Time We Went,HTWW,11/01/14,08/03/19,9,
Like A Hurricane,HURRIC,09/25/10,09/25/10,1,
Highway To Heaven,HWAY2H,01/22/96,01/22/96,1,
Halloween Face,HWEENF,10/31/21,04/26/25,28,
Hope In A Hopeless World,HWORLD,02/06/96,12/31/23,171,
I Wish,I WISH,12/31/02,12/31/09,3,
I've Been Working,IBWORK,07/11/98,06/20/14,3,
I Can See Clearly Now,ICSCN,09/12/15,02/26/16,3,
I Can't Stop Loving You,ICSLU,12/31/06,12/31/06,1,
I Fought The Law,IFTLAW,10/31/15,10/31/15,1,
I Got The Same Old Blues,IGTSOB,03/25/23,04/21/23,2,
I Like It Like That,ILILT,11/03/91,11/03/91,1,
I Like The Things About Me,ILTTAM,07/23/03,06/28/06,17,
I'm A Man,IMAMAN,09/06/14,09/06/14,1,
Imitation Leather Shoes,IMITLS,04/02/00,04/24/25,300,
Impossible,IMPOSS,08/04/88,04/15/24,454,
Indian Song,INDIAN,12/29/96,12/29/96,1,
Somewhere In Time,INTIME,02/19/12,02/29/20,4,
Interstellar Overdrive,INTOVR,05/02/03,07/11/06,6,
I Put A Spell On You,IPASOY,10/31/05,06/25/14,2,
Iron Man,IRNMAN,10/31/11,10/28/23,3,
I Swear It Wasn't Me,ISIWM,01/25/15,01/25/15,1,
I'll Sleep When I'm Dead,ISWID,12/31/23,12/31/23,1,
I Trusted You,ITRSTU,10/31/19,11/02/19,2,
It Was You,ITWASU,07/09/97,04/28/98,7,
I Want Candy,IWANTC,10/31/13,10/31/13,1,
I Want You (She's So Heavy),IWANTU,10/30/06,12/30/06,2,
I Wish You Would,IWISH,06/01/87,11/13/99,4,"I Believe My Baby's Gone, My Baby's Gone, Baby Come Back"
Jack,JACK,08/04/88,04/25/25,511,
Jaded Tourist,JADED,06/27/10,02/11/23,39,
Just Ain't Easy,JAEASY,01/10/14,01/10/14,1,
Jam,JAM,10/24/85,04/25/25,679,
Jamais Vu,JAMAIS,03/14/15,05/24/24,39,
Johnny Appleseed,JAPPLE,10/31/07,10/31/07,1,
Jessica,JESSIC,12/29/15,10/01/22,2,
Jesus Just Left Chicago,JESUS,11/28/09,05/28/23,30,
Jumpin' Jack Flash,JFLASH,10/28/18,10/28/18,1,
The Ballad of John and Yoko,JHNYOK,01/25/12,10/24/21,19,
Just Kissed My Baby,JKMB,01/08/91,05/01/16,164,
Joe's Garage,JOEGAR,10/31/01,10/31/01,1,
John's Other Jam,JOHNOJ,10/30/06,10/30/06,1,
Journey Through The Past,JTPAST,12/31/13,10/31/15,4,
Junior,JUNIOR,04/09/93,02/14/25,452,"Stay All Night, All Night Long"
That Don't Make It Junk,JUNK,04/16/11,02/18/12,4,
Junco Partner,JUNKO,07/21/92,05/08/06,17,
Knocking 'Round The Zoo,KATZOO,04/07/86,04/15/24,159,
Key to the Highway,KEY2HI,06/01/87,09/08/87,2,
Keep Me in Your Heart,KMIYH,06/25/23,04/24/25,6,
King Baby,KNGBBY,06/25/23,04/25/25,15,
Knockin' On Heaven's Door,KOHDOR,06/22/85,11/17/90,21,
Elevator To The Moon,L2MOON,04/04/91,07/29/23,2,
L.a.,LA,07/15/87,07/13/19,186,"Eliza's Apartment, Liza's Apartment"
Lady Wisdom Sleeps,LADYWS,08/20/90,05/18/91,3,
Lake Of Fire,LAKEOF,10/31/09,04/21/18,3,
Louisiana Truck Stop,LATSTP,11/02/02,11/02/02,1,
L.A. Woman,LAWOMN,10/31/97,10/29/16,2,
Long Cool Woman In A Black Dress,LCWOMN,10/29/00,12/31/18,2,
Last Dance,LDANCE,06/22/85,09/15/23,102,
Last Date,LDATE,04/07/05,04/07/05,1,
Low Down Dirty Dog Blues,LDDDB,12/29/15,12/29/15,1,
Lean On Me,LEANOM,12/31/14,06/28/15,2,
Papa Legba,LEGBA,12/31/87,04/18/23,372,
Let's Roll,LETSRL,02/12/12,02/12/12,1,
"Lawyers, Guns, And Money",LGAMON,03/21/87,04/24/25,74,
Let's Get Down To Business,LGDTB,10/31/94,05/24/24,200,
Let's Get The Show On The Road,LGTSOR,02/24/85,03/05/23,136,
Let It Bleed,LIBLED,10/12/03,07/14/06,11,
Life During Wartime,LIFEDW,10/31/03,03/21/25,85,
Life As A Tree,LIFETR,08/25/19,06/23/24,3,
Life on Mars?,LIFMRS,10/31/21,10/31/21,1,
Little Lilly Jam,LILLYJ,11/10/98,11/10/98,1,
Little Lilly reprise,LILLYR,11/09/99,11/09/99,1,
Light Is Like Water,LILWTR,06/27/01,06/20/14,16,
Sitting In Limbo,LIMBO,09/12/15,12/29/15,2,
Let It Rock,LIROCK,06/16/86,04/15/24,166,
Lithium,LITHIU,10/30/16,10/30/16,1,
Just Like A Woman,LKWOMN,09/01/09,10/10/09,2,
Little Lilly,LLILLY,11/17/98,04/26/25,240,"Blue Girl, First Snow"
Longer Look,LLOOK,04/14/05,04/14/05,1,
Long Live Rock,LLROCK,10/31/97,10/31/97,1,
Light My Fire,LMFIRE,11/02/00,11/02/00,1,
Long May You Live,LMLIVE,04/05/86,11/08/01,8,
Lonely Avenue,LNLYAV,08/19/01,08/19/01,1,
Lola,LOLA,10/31/10,10/31/10,1,
I'm Losing You,LOSINU,10/31/11,10/31/11,1,
Turn On Your Love Light,LOVELT,10/24/85,12/31/19,23,Turn On Your Lovelight
Low Rider,LOWRID,,11/04/09,155,
Low Spark Of High Heeled Boys,LSOHHB,02/13/86,03/23/25,228,
My Last Act,LSTACT,12/31/01,12/31/01,1,
The Last Straw,LSTRAW,12/31/87,01/19/24,297,
Little By Little,LTBYLT,07/29/23,04/24/25,15,
Little Kin,LTKIN,04/24/93,04/25/25,441,
Love The One You're With,LTOYW,06/22/85,12/31/22,11,
Long Train Runnin',LTRAIN,04/21/88,04/21/88,1,
Little Wing,LTWING,06/22/85,06/24/23,70,
Lullaby for NYC,LULNYC,11/20/93,11/20/93,1,
Love For Sale,LV4SAL,10/31/01,10/31/01,1,
Love And Happiness,LVAHAP,04/15/05,12/31/11,3,
Love Is The Drug,LVDRUG,10/31/03,10/31/03,1,
Livin' In The USA,LVNUSA,10/10/08,10/10/08,1,
Love In Vain,LVNVAI,03/16/18,03/16/18,1,
Machine Gun,MACGUN,11/02/14,02/16/25,9,
Machine,MACHIN,10/06/86,04/26/25,542,
Machine reprise,MACHRP,10/20/17,10/08/21,2,
Maggot Brain,MAGGOT,10/31/92,03/21/25,106,
Magic Bus,MAGICB,11/30/00,11/30/00,1,
That's All Right Mama,MAMA,,05/29/91,11,It's Alright Mama
Mambo Sun,MAMBOS,06/26/22,06/26/22,1,
Mama Kin,MAMKIN,10/31/08,10/31/08,1,
This Masquerade,MASQUE,10/31/09,11/14/09,2,
Magic Carpet Ride,MCRIDE,10/29/17,10/29/17,1,
Morning Dew,MDEW,08/12/87,05/14/15,20,
Midnight Special,MDNTSP,12/31/12,12/31/12,1,
Mercy,MERCY,04/01/91,02/15/25,304,
Mercy Train To Bogart,MERCYT,06/27/21,10/21/22,2,
Mardi Gras In New Orleans,MGNNO,10/28/00,07/08/16,3,
After Midnight,MIDNIG,12/31/87,12/29/90,10,
What's Made Milwaukee Famous (Has Made A Loser Out Of Me),MILFAM,10/25/15,10/25/15,1,
Milk And Cookies,MILKAC,08/24/19,08/24/19,1,
New Minglewood Blues,MINGLB,,12/12/86,10,Minglewood Blues
Misty Mountain Hop,MMHOP,10/31/99,10/31/99,1,
Man On The Moon,MNMOON,10/31/19,10/31/19,1,
Sleepy Monkey,MONKEY,,03/23/24,245,Monkey Image
Monstrosity,MONSTR,04/29/03,07/12/06,40,
Moondance,MOONDA,12/31/09,12/31/16,2,
Morally Challenged,MORCHA,12/31/01,05/29/22,3,
Early In The Morning Blues,MORNBL,06/27/00,06/27/00,1,
Mr. Crowley,MRCROW,10/28/23,10/28/23,1,
Mr. Soul,MRSOUL,05/13/87,04/25/25,388,
Makes Sense To Me,MSTOME,04/01/91,04/25/25,672,
Mountain Hideaway,MTHIDE,06/29/13,07/20/13,3,
Mama Told Me Not To Come,MTMNTC,10/18/08,06/26/11,4,
Mountain Jam,MTNJAM,04/23/87,07/25/22,10,First There Was A Mountain
Midnight Train To Georgia,MTTG,12/31/05,12/31/05,1,
Drinking Muddy Water,MUDH2O,10/31/13,02/18/22,12,
Muffin Man,MUFFIN,09/19/10,09/19/10,1,
Meeting of the Waters,MWATER,04/18/03,10/26/03,13,
May Your Glass Be Filled,MYGBF,03/26/05,03/23/25,90,
My Generation,MYGEN,12/31/23,12/31/23,1,
Mystic Highway,MYSHWY,09/07/13,09/07/13,1,
Nebulous,NEBULO,04/17/03,07/23/06,46,
New Blue,NEWBLU,10/26/01,03/26/22,8,
Not Fade Away,NFA,02/24/85,02/14/89,29,
Nobody's Fault But Mine,NFBMIN,02/13/86,03/05/23,72,
Nights In White Satin,NIGHT,,02/11/11,11,
Nowhere To Run,NO2RUN,10/31/05,10/31/05,1,
Nobody's Loss,NOLOSS,01/19/96,04/16/24,148,
None of Us Are Free,NONFRE,07/03/05,08/27/22,50,
North,NORTH,09/25/99,04/14/24,285,
No Sugar Tonight/New Mother Nature,NOSUGT,02/24/85,04/24/25,194,"New Mother Nature, No Sugar Tonight/New Mother Nature"
Ain't No Sunshine,NOSUNS,12/31/14,06/24/18,2,
It Ain't No Use,NOUSE,01/13/90,08/11/22,365,
New Speedway Boogie,NSBOOG,01/12/87,08/02/19,51,
Nature's Way,NTRWAY,10/29/22,10/29/22,1,
Next Time You See Me,NTUSEE,06/01/87,06/01/87,1,Lied And Cheated
Orange Blossom Special,OBSPEC,01/23/96,12/30/97,6,
Old Joe,OLDJOE,04/03/00,04/14/24,106,
Old Neighborhood,OLDNHD,10/28/01,06/22/24,166,
On Broadway,ONBROD,11/01/03,11/01/03,1,
1 x 1,ONEBY1,03/23/95,05/27/23,147,
Ophelia,OPHELI,07/15/87,08/26/23,147,
Over The Hills And Far Away,OTHAFA,10/31/98,12/31/98,2,
The Other One,OTHER1,02/24/85,03/11/89,47,That's It For The Other One; Quadlibet for Tenderfeet
The Other One Jam,OTHR1J,07/21/86,10/13/88,2,That's It For The Other One; Quadlibet for Tenderfeet
Outta Mind (Outta Sight),OUTTAM,10/31/11,10/31/11,1,
Over The Rainbow,OVERTR,10/28/23,10/28/23,1,
On Your Way Down,OYWDWN,11/28/09,10/23/22,7,
Papa's Home,PAPAH,08/27/92,02/16/25,534,
Papa Johnny Road,PAPAJR,04/15/03,05/27/23,123,
Paranoid,PARNOD,10/31/87,10/30/16,2,
Henry Parsons Died,PARSON,10/25/92,03/21/25,705,
Party At Your Mama's House,PAYMH,05/07/97,04/24/25,224,"That Thang, Untitled Instrumental"
Pet Sematary,PETSEM,10/31/03,10/31/03,1,
Peace Frog,PFROG,10/31/98,03/27/22,5,
Phosphene Dream,PHODRM,10/29/22,10/29/22,1,
Pickin' Up The Pieces,PIECES,06/26/91,04/26/25,499,
Pigeons,PIGEON,10/23/86,04/25/25,1099,A Hog's Eternity
Pigeons reprise,PIGONR,03/25/89,03/25/89,1,
Pilgrims,PILGRI,09/14/92,03/22/25,572,Pilgrim Radio
Plastic Jesus,PJESUS,03/14/14,04/12/14,3,
Pleas,PLEAS,01/22/88,04/26/25,577,
People Are Strange,PLRSTR,10/30/06,10/30/06,1,
"Baby, Please Don't Go",PLSDGO,10/31/08,10/29/14,6,
Hey Pocky Way,POCK,10/31/19,10/31/19,1,
